target,slot,pin_key,last_display_name,on_value,last_seen_iso,notes
COMPOSITION,1,COMPOSITION|ShiftGlitch|1,Shift Glitch,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,2,COMPOSITION|HueRotate|1,Hue Rotate,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,3,COMPOSITION|Strobe|1,Strobe,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,4,COMPOSITION|TwitchEffect|1,Twitch,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,6,COMPOSITION|Dilate|1,Dilate,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,7,COMPOSITION|Colorize|1,Colorize,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,8,COMPOSITION|Flip|1,Flip,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,9,COMPOSITION|Recolour|1,Recolor,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,10,COMPOSITION|NoisyEffect|1,Noisy,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,11,COMPOSITION|Fragment|1,Fragment,1.0,2026-09-09T00:28:25,opacity via params.Opacity
LAYER1,1,LAYER1|LinearCloner|1,Linear Cloner,1.0,2026-09-09T00:28:25,opacity via params.Opacity
LAYER1,2,LAYER1|Acuarela|1,Acuarela,1.0,2026-09-09T00:28:25,opacity via params.Opacity
LAYER1,3,LAYER1|Goo|1,Goo,1.0,2026-09-09T00:28:25,opacity via params.Opacity
LAYER1,4,LAYER1|WaveWarp|1,Wave Warp,1.0,2026-09-09T00:28:25,opacity via params.Opacity
LAYER1,5,LAYER1|WarpSpeed|1,WarpSpeed,1.0,2026-09-09T00:28:25,opacity via params.Opacity
LAYER1,6,LAYER1|InfiniteZoom|1,Infinite Zoom,1.0,2026-09-09T00:28:25,opacity via params.Opacity
LAYER1,7,LAYER1|AutoMask|1,Auto Mask,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,12,COMPOSITION|Ripples|1,Ripples,1.0,2026-09-09T00:28:25,opacity via params.Opacity
COMPOSITION,13,COMPOSITION|EdgeDetection|1,Edge Detection,1.0,2026-09-09T00:28:25,opacity via params.Opacity
LAYER1,9,LAYER1|RoundMask|1,RoundMask,1.0,2026-09-09T00:28:25,opacity via params.Opacity
